,time,content_x,English,sentiment,sub,pol,rea,div
0,2009/5/26,又或沉迷賭博投機的活動,Or indulge in gambling and speculation,0.762651324,0.0,0.0,180.1836363636364,6.0
1,2009/5/26,而家好似chixx lxxx嘅時代(我唔係agent ),It's like the age of chixx LXXX (I'm not an agent),0.120921187,0.0,0.0,189.4715,11.0
2,2009/5/27,但知易行難,But I know it's easier to walk than to walk,0.245934278,0.0,0.0,180.21348930481284,10.0
3,2009/5/27,第1年，一次過比$<8萬幾>，5年後攞返10萬，chic lixx我經南x銀行買，唔想煩，可考慮類似計劃,"In the first year, I gave $< 80000 at a time, and got back 100000 five years later. I bought chic lixx through nanx bank. I don't want to be bothered. I can consider a similar plan",0.245934278,0.18333333333333332,0.0625,184.7263888888889,37.0
4,2009/5/27,保險中介人唔會睇到定期利率的,Insurance intermediaries don't see term rates,0.737569273,0.0,0.0,188.49152884615387,6.0
5,2009/5/27,英保有份10年plan 我去到第5年都未回本,"Yingbao has a 10-year plan, and I haven't returned to the original in the fifth year",0.737569273,0.75,0.375,180.227766798419,16.0
6,2010/1/3,AIG出問題....AIA一樣會出問題.... 全世界保險公司o既投資組合都係差唔多.......大部份係國債...跟住部份係Municipal bond (即係類似兩房的債券)....跟住係公司債..同埋部份股票.....依家大家都玩Mark to Market....同埋好多bond同國債個spread咁闊....有邊個知萬一AIA個投資pool..一mark to market....有幾大影響..........,"AIG will have problems The portfolio of insurance companies all over the world is almost the same... Most of them are treasury bonds... And then there are municipal bonds... And then there are corporate bonds and stocks... OK, now everyone is playing mark to market... And many bond and bond spreads are so wide... Who knows if AIA's investment pool... Mark to market... How much impact will it have",0.467148036,0.3178571428571429,0.22857142857142854,184.81907235897185,69.0
7,2010/1/3,"i don't think so, in case the co. collapsed, the econ. of usa will be collapsed too, the gov. of uas will do something",i don't think so，in case the co. collapsed，the econ. of usa will be collapsed too，the gov. of uas will do something,0.467148036,0.0,0.0,180.89933492822968,21.0
8,2010/1/3,公公婆婆無講錯~保險呃人既.....=.=都係買金好d~~,Father in law and grandmother are right ~ insurance fraud~~,0.522278965,0.5357142857142857,0.2857142857142857,182.4809,10.0
9,2010/1/3,原本間公司唔會執既...不過比D人講到佢執啫,"Originally, the company would not pick it up... But some people said he would pick it up",0.522278965,0.75,0.375,177.26168300653595,17.0
10,2010/1/3,"圓 :  家 : 老千AIA都信 , ON 居","Round: Now: liars AIA believe that, on living",0.501988828,0.4,-0.2,181.72870300751882,8.0
11,2010/1/3,"technically its going to collapse, they need 70 billion us dollars for short term capital injection no one can help them unless the government step in.","Technically its going to collapse, they need 70 billion US dollars is a term capital injection no one can help them unless the government step in",0.501988828,0.1,0.0,185.21165161064425,26.0
12,2010/1/3,有腦o既人都知道，AIG/AIA係全球最大，若果兩間公司執笠，所有保險界都難逃一劫，包括銀行界。 我相信全球人類都冇好日子過。,"People who have brains all know that AIG / AIA is the largest in the world. If two companies fail, all the insurance industry, including the banking industry, will be hard to escape. I believe that the global human beings do not have a good life.",0.650419414,0.3083333333333333,-0.018333333333333358,183.61514207313942,46.0
